State,n_seats,seats_d,avg_win_d,n_uncontested_d,seats_r,avg_win_r,n_uncontested_r,voteshare_d,weighted_voteshare,t_test_p,non_parametric_p,mean_median_diff,efficiency_gap,partisan_bias
MT,100.0,42.0,0.7821815923997749,19,58.0,0.7401215677836542,15,0.4792457594933859,0.4603385632259167,0.1347796065526095,0.3449443556479953,0.0336627614998431,0.03849151898677206,0.06
NC,120.0,55.0,0.6780006652871016,2,65.0,0.6338525875744593,1,0.5090801533204227,0.5117028320126381,0.014054760695554395,0.044945545282849705,0.03770514439053374,0.05982697330751234,0.05833333333333335
NM,70.0,46.0,0.8114155985631658,25,24.0,0.8048771773557876,13,0.6001152182480961,0.5963414233636573,0.5477878856023333,0.3678766630022082,0.01954030457642575,0.04308757935333501,0.02857142857142858
NV,42.0,29.0,0.7361978950849225,10,13.0,0.7556006331566738,5,0.5839745411053807,0.5278993856476053,0.38915917175846737,0.3380844310098785,0.023554242709023065,-0.022527108265429148,0.047619047619047616
NY,150.0,107.0,0.869169815193292,49,43.0,0.6867309350542891,11,0.7098116001223188,0.664923077254368,0.9999999841415189,1.001111977731647e-06,-0.051217677889380475,0.20628986691130435,-0.033333333333333326
OH,99.0,38.0,0.7355396910289264,9,61.0,0.6439061201343068,0,0.5017397467768333,0.48284135194601385,0.00034582044991964336,0.05624524000636681,0.08137123361143489,0.11964110971528268,0.12626262626262624
OK,73.0,13.0,0.5640873656667637,0,60.0,0.6233455424783357,0,0.4100329206159972,0.405419118674507,0.9989761739064225,0.0013862825825756001,0.007750466978336756,0.14198364945117253,0.04794520547945208
OR,60.0,40.0,0.7991752406845196,20,20.0,0.6865179700692361,3,0.637277503766601,0.6161742217847538,0.981593415989595,0.0720318199984262,0.06617893793275109,0.10788834086653551,0.06666666666666665
PA,203.0,93.0,0.8470040356799712,55,110.0,0.6963057854584914,23,0.5525996991024794,0.5409480879726278,1.3910478733682683e-08,1.092570904086722e-06,0.0740128792066273,0.1470713193872246,0.0960591133004926
RI,75.0,66.0,0.8916273786659201,48,9.0,0.7076580660198766,3,0.8197131253036245,0.7612231125305351,0.9964125562709094,0.003815337236833078,-0.1802868746963755,0.25942625060724916,-0.14
SC,74.0,23.0,0.9228861965331909,18,51.0,0.8853164052948799,34,0.36588170067870973,0.33994024809071294,0.18166074956461348,0.18511944479977255,0.08196294989064201,-0.07904740945339135,0.10810810810810811
TN,99.0,26.0,0.8672255025560343,17,73.0,0.7389217432331253,9,0.42026844252968437,0.39668108627733717,9.578631804119368e-05,0.0019838451860274796,0.10349610424191108,0.0779106224331062,0.18686868686868685
TX,104.0,37.0,0.7020532362612628,7,67.0,0.6702002701316312,3,0.4622360734889177,0.43949362820320376,0.14591009084102854,0.34304323505453616,0.006028631947854024,0.06870291620860455,0.05769230769230771
UT,75.0,16.0,0.6964708354733972,2,59.0,0.7637573996873909,15,0.33442462381357707,0.35293995454942023,0.925643765461388,0.06482155921688644,0.029992275446547534,-0.04448408570617914,0.020000000000000018
WI,99.0,36.0,0.9378350370919848,30,63.0,0.645342809955492,7,0.5667218616981359,0.542486004115327,1.496224534251658e-16,2.2601517789160763e-10,0.12845894024784793,0.26980735975990844,0.15656565656565657
