State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
CT,2016,District 20,8161,0,1.0,0,D
CT,2016,District 21,7047,6147,0.534106412005457,0,D
CT,2016,District 22,4229,6359,0.3994144314318096,0,R
CT,2016,District 23,0,10447,0.0,0,R
CT,2016,District 24,5209,2855,0.6459573412698413,0,D
CT,2016,District 25,4349,897,0.829012581014106,0,D
CT,2016,District 26,4654,1785,0.7227830408448517,0,D
CT,2016,District 27,5670,6624,0.4612005856515373,0,R
CT,2016,District 28,6756,5971,0.5308399465702837,0,D
CT,2016,District 29,7413,4476,0.6235175372192783,0,D
CT,2016,District 3,4454,0,1.0,0,D
CT,2016,District 30,6886,6389,0.5187193973634652,0,D
CT,2016,District 31,4470,9617,0.3173138354511251,0,R
CT,2016,District 32,4395,8263,0.34721124980249646,0,R
CT,2016,District 33,5648,4130,0.5776232358355492,0,D
CT,2016,District 34,0,10459,0.0,0,R
CT,2016,District 35,4854,7729,0.38575856314074547,0,R
CT,2016,District 36,6662,6975,0.48852386888611865,0,R
CT,2016,District 37,5342,6827,0.4389843043799819,0,R
CT,2016,District 38,5012,6747,0.4262267199591802,0,R
CT,2016,District 39,4904,0,1.0,0,D
CT,2016,District 4,4063,601,0.8711406518010292,0,D
CT,2016,District 40,4078,3439,0.5425036583743514,0,D
CT,2016,District 41,5636,4646,0.5481423847500486,0,D
CT,2016,District 42,0,7594,0.0,0,R
CT,2016,District 43,7849,4915,0.6149326230021936,0,D
CT,2016,District 44,3677,5592,0.3966986729960082,0,R
CT,2016,District 45,3851,6389,0.37607421875,0,R
CT,2016,District 46,3536,2670,0.5697711891717693,0,D
CT,2016,District 47,4918,7323,0.4017645617188138,0,R
CT,2016,District 48,6702,5275,0.5595725139851382,0,D
CT,2016,District 49,4912,2563,0.657123745819398,0,D
CT,2016,District 5,7515,1662,0.8188950637463224,0,D
CT,2016,District 50,6243,5165,0.5472475455820477,0,D
CT,2016,District 51,5548,4028,0.5793650793650794,0,D
CT,2016,District 52,4180,6657,0.3857156039494325,0,R
CT,2016,District 53,6337,6385,0.49811350416601163,0,R
CT,2016,District 54,7027,2306,0.7529197471338263,0,D
CT,2016,District 55,0,9466,0.0,0,R
CT,2016,District 56,5456,5091,0.5173034986252015,0,D
CT,2016,District 57,0,9048,0.0,0,R
CT,2016,District 58,4410,5095,0.46396633350867966,0,R
CT,2016,District 59,4495,5294,0.4591888854837062,0,R
CT,2016,District 6,5422,662,0.891190006574622,0,D
CT,2016,District 60,5427,6229,0.4655971173644475,0,R
CT,2016,District 61,4136,7547,0.3540186595908585,0,R
CT,2016,District 62,0,10382,0.0,0,R
CT,2016,District 63,0,8103,0.0,0,R
CT,2016,District 64,5433,6957,0.438498789346247,0,R
CT,2016,District 65,4274,4061,0.5127774445110977,0,D
CT,2016,District 66,5549,7916,0.41210545859636094,0,R
CT,2016,District 67,4525,6539,0.4089840925524223,0,R
CT,2016,District 68,0,9703,0.0,0,R
CT,2016,District 69,0,9882,0.0,0,R
CT,2016,District 7,5589,0,1.0,0,D
CT,2016,District 70,0,7232,0.0,0,R
CT,2016,District 71,0,6302,0.0,0,R
CT,2016,District 72,4117,0,1.0,0,D
CT,2016,District 73,4293,3972,0.5194192377495462,0,D
CT,2016,District 74,3365,4330,0.43729694606887587,0,R
CT,2016,District 75,3282,903,0.7842293906810036,0,D
CT,2016,District 76,3795,9213,0.29174354243542433,0,R
CT,2016,District 77,5169,5782,0.47201168843028035,0,R
CT,2016,District 78,4125,7018,0.37018756169792694,0,R
CT,2016,District 79,4785,4052,0.5414733506846214,0,D
CT,2016,District 8,4646,8864,0.34389341228719467,0,R
CT,2016,District 80,0,10529,0.0,0,R
CT,2016,District 81,4829,6991,0.40854483925549917,0,R
CT,2016,District 82,7284,0,1.0,0,D
CT,2016,District 83,5273,5105,0.5080940450953941,0,D
CT,2016,District 84,4135,0,1.0,0,D
CT,2016,District 85,5646,4174,0.574949083503055,0,D
CT,2016,District 86,0,8740,0.0,0,R
CT,2016,District 87,3331,9926,0.2512634834427095,0,R
CT,2016,District 88,6375,3874,0.6220119036003513,0,D
CT,2016,District 89,0,10446,0.0,0,R
CT,2016,District 9,7224,0,1.0,0,D
CT,2016,District 90,9612,13621,0.413721861145784,0,R
CT,2016,District 91,8333,3377,0.7116140051238258,0,D
CT,2016,District 92,7938,0,1.0,0,D
CT,2016,District 93,6159,351,0.9460829493087558,0,D
CT,2016,District 94,7426,0,1.0,0,D
CT,2016,District 95,5044,0,1.0,0,D
CT,2016,District 96,5918,0,1.0,0,D
CT,2016,District 97,5717,0,1.0,0,D
CT,2016,District 98,10599,0,1.0,0,D
CT,2016,District 99,5006,4995,0.5005499450054994,0,D
DE,2016,District 1,8901,0,1.0,0,D
DE,2016,District 10,6654,4300,0.6074493335767756,0,D
DE,2016,District 11,2985,6821,0.3044054660411993,0,R
DE,2016,District 12,0,9866,0.0,0,R
DE,2016,District 13,7287,0,1.0,0,D
DE,2016,District 14,9297,5332,0.6355184906692187,0,D
DE,2016,District 15,9390,0,1.0,0,D
DE,2016,District 16,7536,0,1.0,0,D
DE,2016,District 17,7721,0,1.0,0,D
DE,2016,District 18,7348,0,1.0,0,D
DE,2016,District 19,5967,3503,0.6300950369588173,0,D
DE,2016,District 2,6256,0,1.0,0,D
DE,2016,District 20,5529,9209,0.37515266657619756,0,R
DE,2016,District 21,0,7574,0.0,0,R
DE,2016,District 22,4329,8964,0.3256601218686527,0,R
DE,2016,District 23,6550,0,1.0,0,D
DE,2016,District 24,6406,2915,0.6872653148803777,0,D
DE,2016,District 25,5123,2350,0.6855345911949685,0,D
DE,2016,District 26,7745,0,1.0,0,D
DE,2016,District 27,9182,0,1.0,0,D
DE,2016,District 28,7581,0,1.0,0,D
DE,2016,District 29,6777,3918,0.6336605890603085,0,D
DE,2016,District 3,6060,0,1.0,0,D
DE,2016,District 30,2623,6337,0.2927455357142857,0,R
DE,2016,District 31,5765,2897,0.6655506811359964,0,D
DE,2016,District 32,4241,2771,0.6048203080433543,0,D
DE,2016,District 33,4271,5780,0.4249328425032335,0,R
DE,2016,District 34,4516,6518,0.4092804060177633,0,R
DE,2016,District 35,2435,6553,0.27091677792612373,0,R
DE,2016,District 36,0,7175,0.0,0,R
DE,2016,District 37,4038,6720,0.37534857780256553,0,R
DE,2016,District 38,0,12188,0.0,0,R
DE,2016,District 39,0,6643,0.0,0,R
DE,2016,District 4,9565,0,1.0,0,D
DE,2016,District 40,0,7826,0.0,0,R
DE,2016,District 41,4070,5899,0.40826562343264117,0,R
DE,2016,District 5,8280,0,1.0,0,D
DE,2016,District 6,9545,0,1.0,0,D
DE,2016,District 7,8277,0,1.0,0,D
DE,2016,District 8,8703,0,1.0,0,D
DE,2016,District 9,5130,7812,0.3963838664812239,0,R
FL,2016,District 1,0,55795,0.0,0,R
FL,2016,District 10,23893,43043,0.3569529102426198,0,R
FL,2016,District 103,28622,31972,0.47235699904280953,0,R
FL,2016,District 104,46108,27751,0.6242705695988302,0,D
