Year,State,r_avg_win,d_avg_win
1958,UT,0.5389614,0.511148969
1958,VA,0.549632389,0.970173123
1958,VT,,0.514653493
1958,WA,0.577278892,0.70920329
1958,WI,0.5777156,0.618689048
1958,WV,0.545894479,0.680276551
1958,WY,0.535820361,
1960,AK,,0.567969795
1960,AL,,0.940487264
1960,AR,,0.971164473
1960,AZ,0.592299709,0.557496658
1960,CA,0.604228941,0.692189234
1960,CO,0.548297103,0.642732984
1960,CT,0.509011373,0.556108154
1960,DE,,0.504857014
1960,FL,0.584263366,0.8233928
1960,GA,,0.974165443
1960,HI,,0.743691106
1960,IA,0.566124982,0.533049359
1960,ID,,0.557713813
1960,IL,0.585009799,0.639473244
1960,IN,0.556220713,0.551458551
1960,KS,0.562169402,0.554560708
1960,KY,0.718031666,0.737795481
1960,LA,,0.879409634
1960,MA,0.605656711,0.861017079
1960,MD,0.520322263,0.641219013
1960,ME,0.570691459,
1960,MI,0.601995454,0.685726018
1960,MN,0.559641608,0.633280027
1960,MO,0.55786848,0.646242447
1960,MS,,0.977206385
1960,MT,0.509006138,0.532652751
1960,NC,0.585524928,0.662259992
1960,ND,0.533325492,
1960,NE,0.561902174,
1960,NH,0.584255156,
1960,NJ,0.572259335,0.616648747
1960,NM,,0.584845944
1960,NV,,0.575432907
1960,NY,0.577795322,0.677830211
1960,OH,0.602485194,0.622271869
1960,OK,0.638233809,0.619108307
1960,OR,0.580784383,0.617345413
1960,PA,0.585382259,0.649002058
1960,RI,,0.683028159
1960,SC,,1
1960,SD,0.572976606,
1960,TN,0.877044539,1
1960,TX,0.573207705,0.943883252
1960,UT,,0.504221092
1960,VA,0.775118534,0.865723474
1960,VT,0.571661768,
1960,WA,0.609954577,0.517318366
1960,WI,0.648493282,0.598362299
1960,WV,0.60309969,0.60896474
1960,WY,0.522894939,
1962,AK,,0.56036375
1962,AL,,0.863326065
1962,AR,,0.867009019
1962,AZ,0.586726631,0.571246871
1962,CA,0.640697702,0.626692106
1962,CO,0.582523883,0.57322466
1962,CT,0.52006809,0.551745548
1962,DE,,0.530150229
1962,FL,0.582215104,0.746204634
1962,GA,,0.92796473
1962,HI,,0.681569318
1962,IA,0.568375529,0.627656144
1962,ID,,0.529350774
1962,IL,0.615875221,0.634723439
1962,IN,0.547050118,0.549991848
1962,KS,0.609293212,
1962,KY,0.754076606,0.820057408
1962,LA,,0.914038797
1962,MA,0.6352157,0.784285854
1962,MD,0.570506603,0.682361628
1962,ME,0.553789107,
1962,MI,0.60374991,0.675893005
1962,MN,0.579697323,0.567778486
1962,MO,0.570091082,0.612744312
1962,MS,,1
1962,MT,0.554378975,0.527763806
1962,NC,0.532168741,0.738352263
1962,ND,0.543309123,
1962,NE,0.629150939,
1962,NH,0.553058278,
1962,NJ,0.584580872,0.673119086
1962,NM,,0.584572945
1962,NV,,0.716493078
1962,NY,0.611891439,0.668605922
1962,OH,0.622088877,0.639739827
1962,OK,0.68603127,0.758205494
1962,OR,0.618250529,0.613041549
1962,PA,0.604626609,0.605998928
1962,RI,,0.642818993
1962,SC,,0.911338493
1962,SD,0.60358276,
1962,TN,0.589280232,0.917589996
1962,TX,0.550641989,0.742489982
1962,UT,0.523960796,
1962,VA,0.604144409,0.796306888
1962,VT,0.567103669,
1962,WA,0.654491793,0.653377368
1962,WI,0.609684531,0.610366772
1962,WV,0.598929299,0.628388577
1962,WY,0.613776465,
1964,AK,,0.515177681
1964,AL,0.603747556,0.84329073
1964,AR,,0.886859014
1964,AZ,0.552794127,0.551077107
1964,CA,0.617611423,0.665696595
1964,CO,,0.581822757
1964,CT,,0.624983377
1964,DE,,0.565722629
1964,FL,0.605717456,0.868372749
1964,GA,0.574497338,0.80688336
1964,HI,,0.629301546
1964,IA,0.501258326,0.556366792
1964,ID,0.522222222,0.517184898
1964,IL,0.571065836,0.676028081
1964,IN,0.527427528,0.568488274
1964,KS,0.560418694,
1964,KY,0.53138119,0.706984527
1964,LA,,0.793481512
1964,MA,0.704444617,0.904709313
1964,MD,0.537849826,0.755834951
1964,ME,0.500532548,0.620041474
1964,MI,0.572017409,0.670896142
1964,MN,0.553578094,0.641557025
1964,MO,0.524225795,0.676785994
1964,MS,0.5569994,1
1964,MT,0.541039935,0.539205415
1964,NC,0.547413088,0.704349928
1964,ND,0.523975208,0.525395878
1964,NE,0.529809378,0.5132748
1964,NH,0.501191409,0.513496845
1964,NJ,0.590741602,0.636952775
1964,NM,,0.566707896
1964,NV,,0.632934823
1964,NY,0.570684011,0.700776272
1964,OH,0.577424311,0.647152831
1964,OK,0.635222293,0.735820128
1964,OR,0.53063976,0.661848238
1964,PA,0.573082302,0.676099186
1964,RI,,0.738020075
1964,SC,,0.886204719
1964,SD,0.567545091,
1964,TN,0.603657019,0.817736909
1964,TX,,0.710375771
1964,UT,0.559733047,0.575388257
1964,VA,0.534571362,0.707395372
1964,VT,0.564422283,
1964,WA,0.625812864,0.572277294
1964,WI,0.586825889,0.632066353
1964,WV,0.614275939,0.65381784
1964,WY,,0.507943237
1966,AK,0.516485351,
1966,AL,0.612818573,0.788657713
1966,AR,0.53143143,0.88330304
1966,AZ,0.620414773,0.595805206
1966,CA,0.680975392,0.629993119
