State,n_seats,seats_d,avg_win_d,n_uncontested_d,seats_r,avg_win_r,n_uncontested_r,voteshare_d,weighted_voteshare,t_test_p,non_parametric_p,mean_median_diff,efficiency_gap,partisan_bias
MT,25.0,11.0,0.6510591278240256,2,14.0,0.7420150824449662,4,0.4309375700733902,0.43671583810173764,0.8833616588678425,0.06479495586663914,-0.023718865224830854,-0.07812485985321956,-0.06000000000000005
NC,50.0,21.0,0.660021043876127,0,29.0,0.6158178634615226,0,0.5000344776202902,0.5051875088527542,0.03821589973400974,0.07565868620912031,0.039014258282587644,0.08006895524058066,0.08000000000000002
ND,24.0,6.0,0.6488252329689638,1,18.0,0.7076248073450713,3,0.38148770273343735,0.36646842971023663,0.7737639668230616,0.11456223786838021,0.0050684783104603115,0.012975405466874776,0.0
NH,24.0,14.0,0.61583767797217,1,10.0,0.5531722759929187,0,0.5454168638200497,0.539246093934645,0.9183280599853418,0.23210715638551577,0.03241851853518729,0.007500394306766152,0.16666666666666669
NV,11.0,6.0,0.7479091986462358,2,5.0,0.6033801331194617,0,0.5882322296618279,0.5137018170391989,0.9027764060171737,0.15710005463690396,0.07197980131070336,0.1310099138691103,0.13636363636363635
NY,63.0,40.0,0.8146260086690666,16,23.0,0.6954738922989013,7,0.6283990606966341,0.6025214495883451,0.9856086684696422,0.0427414933372116,0.07740215514772075,0.12187748647263326,0.03968253968253971
OH,17.0,7.0,0.7237409638212051,0,10.0,0.6017867195551134,0,0.5322540912469002,0.5263679581014923,0.012014057652571733,0.028519937124527765,0.056432056150361065,0.15274347661144716,0.14705882352941174
OK,19.0,4.0,0.6477676431974536,0,15.0,0.667989864432592,1,0.3984854003316282,0.4008749605451066,0.6274624786279135,0.19766254312269238,0.029779675652325033,0.0864444848737826,0.1842105263157895
OR,17.0,11.0,0.7344380523876342,3,6.0,0.5821476516599868,0,0.6227019215472973,0.5990220256553712,0.9616972898833794,0.024727672115329762,0.02876673904300253,0.09834501956518273,0.14705882352941174
PA,25.0,12.0,0.7580872479282862,5,13.0,0.631636140398773,1,0.5554310859982154,0.5418760399056484,0.05222093458376674,0.22163666489738776,0.05577150369993583,0.13086217199643077,0.21999999999999997
RI,38.0,33.0,0.8323113850636639,18,5.0,0.6427815555275093,1,0.7697991560385095,0.7224290478662156,0.9767859985200665,0.010502223173391783,0.0468728800559115,0.17117725944544002,0.026315789473684237
SD,35.0,5.0,0.7285406940519255,2,30.0,0.6759634496639034,3,0.381822856581215,0.3722867427882658,0.2349293712351853,0.32690960142373165,0.005358882066083259,0.12078857030528718,0.07142857142857145
TN,18.0,4.0,0.9586950314106225,3,14.0,0.7337495364796067,3,0.42012703416266645,0.40611212312363587,0.008736083554277381,0.015254940135705523,0.08032271381222567,0.11803184610311059,0.16666666666666669
TX,14.0,4.0,0.6171279972325574,0,10.0,0.6437965683260666,1,0.43075330754782604,0.4457840576737839,0.6200359261412257,0.4718140111014917,-0.013291515633672202,0.07579232938136633,0.0
UT,15.0,5.0,0.6794348443028315,0,10.0,0.7815150362432405,3,0.3721349239387835,0.40002115125497445,0.8900365219627631,0.14806437512984594,0.04961907281831501,-0.0890634854557663,0.09999999999999998
WA,25.0,17.0,0.823450991652417,8,8.0,0.6510730260222013,1,0.6716033059965392,0.6475724265536106,0.9761582203124655,0.05046954360638657,0.04002347378120974,0.1632066119930782,0.06
WI,17.0,6.0,0.7275675301681418,1,11.0,0.6474595316958586,2,0.4849029607267296,0.4723268635913439,0.21332874364616977,0.32513770937195563,0.026132627595644164,0.11686474498287111,0.08823529411764708
WV,17.0,8.0,0.5393357985743604,0,9.0,0.6367265837805457,1,0.4461263020335278,0.45201934331520943,0.9581339153905812,0.009198890711786957,-0.02928632828947436,-0.07833563122706204,-0.08823529411764708
WY,15.0,2.0,0.8116505861603901,1,13.0,0.8646756584094951,8,0.22550117419982302,0.2491762532921365,0.6378773321602227,0.38689894486109466,0.22550117419982302,-0.18233098493368732,0.09999999999999998
